"Praise the Lord Forever","Pat Barrett","4:27","C540","Current-Light"
"Dusty Bibles","Josiah Queen","3:10","H327","Current-Heavy"
"Isnt He Worthy","Life.Church Worship","3:34","H328","Current-Medium"
"Song of the Saints","Phil Wickham","4:51","H329","Current-Light"
"Jesus Loves","Zach Williams","4:15","H330","Current-Light"
"Let the church sing","Tauren Wells","2:57","H331","Current-Light"
"Life in the Blood","Temitope","3:44","P893","Current-Heavy"
"What An Awesome God","Phil Wickham","3:32","P894","Current-Heavy"
"Creed","Life.Church Worship","5:26","P895","Current-Heavy"
"The Joy","The Belonging Co","3:57","P897","Current-Heavy"
"Move Again","Jonathan Duff","4:08","P898","Current-Medium"
"Redemption Has Come","Life.Church Worship","3:31","P899","Current-Medium"
"Whole World","Aodhan King","3:44","P900","Current-Medium"
"What A God","SEU Worship","5:12","P901","Current-Heavy"
"Mighty Name of Jesus","The Belonging Co & Hope Darst","3:41","P902","Current-Heavy"
"Fathers House","Gracie Binion","4:19","P903","Current-Light"
"Get Behind Me (Feat. Zach Williams)","Emerson Day & Zach Williams","3:12","P904","Current-Medium"
"Cant steal my joy","Josiah Queen & Brandon Lake","4:08","P905","Current-Medium"
"Goodbye Yesterday","Elevation Rhythm & Gracie Binion","3:31","P906","Current-Medium"
"I Know A Name","Cece Winans & Brandon Lake","5:34","P907","Current-Heavy"
"Grave Robber","Crowder & Zach Williams","2:51","P908","Current-Medium"
"Praise To The Most High","Joe L Barnes & Matt Redman","5:02","P909","Current-Light"
"Finished","Caleb & John","2:44","P910","Current-Light"
"Where would I be","Peter Burton","3:12","T1783","Current-Light"
"Left it in the river","Jamie MacDonald","3:00","T1784","Current-Medium"
"Still","Crowder & Zach Williams","3:12","T1785","Current-Light"
"So Much","Life.Church Worship","3:25","T1786","Current-Light"
"Testimony","Terrian","4:02","T1788","Current-Light"
"Adonai","Gas Street Music & Zo Ross-Waddell","4:58","V717","Current-Medium"
"Never Gets Old","Red Rocks Worship","4:01","V718","Current-Heavy"
"Thank you for the cross","Tauren Wells","4:31","V719","Current-Light"
